plot,SR_real,year_mean,year_cv,ntrees,total_biomass,gini,H,H_normalized
1020_2017,1,2022,0,100,201.339594261,0.482258879251204,0,
1020_2018,1,2022,0,100,300.256696855,0.303098445668785,0,
1021,1,2017.10101867572,0.000187248825210166,2356,321885.026437155,0.751577498057567,0,
1022,1,2018.89376443418,0.000308812121091352,866,4093.607990549,0.788554371215475,0,
1022_2019,2,2022,0,95,222.857016838,0.487952387256088,0.290486019299197,0.964973668681994
1022_2020,1,2022,0,92,188.044112358,0.49935047431079,0,
1022_2021,2,2022,0,96,167.89343965,0.609824994949722,0.260486604321305,0.86531776923675
1022_2022,2,2022,0,69,89.106667952,0.485180760925644,0.210943502893412,0.700739148695579
1023,1,2018.15037194474,0.000407220815792638,1882,3654.798888885,0.735157010668427,0,
1024,1,2017.22978303748,0.000333859716955012,1014,741.433582724,0.542350895661144,0,
1024_155,1,2017.09090909091,0.000247110719716581,484,932.972279173,0.68906280348122,0,
1024_2023,2,2022,0,51,26.783752886,0.378219114387628,0.0425889474956428,0.141477421217459
1024_2024,2,2022,0,81,113.431077389,0.415108229250286,0.295542470575355,0.981770836236694
1024_2025,3,2022,0,73,138.306731616,0.456111343721361,0.434130434317317,0.909895398754338
1025,1,2017.00418760469,4.53342931267714e-05,2388,65630.927039226,0.697275163076229,0,
1026,1,2017.44464127547,0.000461730542514881,1129,1567.9982076,0.652356627008197,0,
1026_156,1,2017.44444444444,0.000501773710899708,405,713.266777176,0.679490113285139,0,
1026_2026,1,2022,0,71,143.130856578,0.473307852896709,0,
1026_2027,2,2022,0,96,293.045627118,0.408566962850032,0.289018003041365,0.960097024231352
1026_2028,2,2022,0,92,256.717154816,0.424761106080887,0.300893098977391,0.999545239050719
1027,1,2017.39008719596,0.000391758675663157,2179,76459.55803704,0.707215797127662,0,
1028,1,2018.04333694475,0.000419223831627306,1846,2760.702452093,0.697954957199459,0,
1029,12,2017.38166417539,0.000387145512197388,2007,108840.980413809,0.872747167492094,0.693697218591178,0.642799549317376
103,1,2016.01716738197,0.000112326732940885,699,253145.50874626,0.678519180099599,0,
